date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:47	132/132	U--MCZ	200	updated ('OK')	text/plain	date:Mon,%2011%20Jul%202016%2009:27:50%20GMT	http://www.benzthanachart.com/robots.txt		(from )
05:27:47	21541/21541	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2011%20Jul%202016%2009:27:50%20GMT	http://www.benzthanachart.com/	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/index.html	(from )
05:27:47	10372/10372	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2011%20Jul%202016%2009:27:50%20GMT	http://s0.wp.com/wp-content/js/devicepx-jetpack.js?ver=201628	Y:/Downloads/My%20Web%20Sites/benz/s0.wp.com/wp-content/js/devicepx-jetpacka7f8.js	(from http://www.benzthanachart.com/)
05:27:48	46452/46452	U-----	200	untouched ('OK')	text/css	date:Sat,%2004%20Jan%202014%2022:41:01%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/style.css?ver=4.4.2	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/stylec1f9.css	(from http://www.benzthanachart.com/)
05:27:49	3043/3043	U-----	200	untouched ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/css/gallery.css?ver=4.4.2	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/css/galleryc1f9.css	(from http://www.benzthanachart.com/)
05:27:49	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2011%20Jul%202016%2009:27:52%20GMT	http://www.benzthanachart.com/xmlrpc.php	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/xmlrpc.php	(from http://www.benzthanachart.com/)
05:27:49	830/830	U--MC-	200	updated ('OK')	application/rss+xml	etag:%22aac94ec6ccfad49a2ba5d8c937174bfa%22	http://www.benzthanachart.com/feed/	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/feed/index.html	(from http://www.benzthanachart.com/)
05:27:49	8852/8852	U-----	200	untouched ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/js/fancybox/jquery.fancybox-1.3.4.css?ver=4.4.2	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/js/fancybox/jquery.fancybox-1.3.4c1f9.css	(from http://www.benzthanachart.com/)
05:27:49	3291/3291	---M-Z	403	error ('Forbidden')	text/html	etag:%22a9a5adba8695c14b3178c6e96a8d245d%22	http://www.benzthanachart.com/comments/feed/	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/comments/feed/index.html	(from http://www.benzthanachart.com/)
05:27:50	3476/3476	U-----	200	untouched ('OK')	text/css	date:Sun,%2022%20Dec%202013%2005:39:21%20GMT	http://www.benzthanachart.com/wp-content/themes/photonexus2/css/pagenavi.css?ver=4.4.2	Y:/Downloads/My%20Web%20Sites/benz/www.benzthanachart.com/wp-content/themes/photonexus2/css/pagenavic1f9.css	(from http://www.benzthanachart.com/)
